 birthyear |    avgheight     | count 
-----------+------------------+-------
      1820 |                  |     1
      1824 |                  |     1
      1831 |                  |     1
      1832 |                  |     2
      1835 |               69 |     1
      1836 |               63 |     1
      1837 |                  |     1
      1838 |               69 |     3
      1839 |               72 |     1
      1840 |             68.5 |     7
      1841 | 68.3333333333333 |     3
      1842 |             68.4 |     6
      1843 |             67.5 |     8
      1844 | 68.8333333333333 |    17
      1845 | 69.1538461538462 |    18
      1846 |             67.5 |    13
      1847 | 69.1052631578947 |    28
      1848 |               68 |    23
      1849 |             68.6 |    30
      1850 |  68.962962962963 |    44
      1851 |            68.55 |    32
      1852 | 69.2962962962963 |    41
      1853 | 69.2352941176471 |    41
      1854 | 69.5151515151515 |    53
      1855 |  69.046511627907 |    65
      1856 |            68.86 |    73
      1857 | 69.2549019607843 |    65
      1858 | 69.3055555555556 |    91
      1859 | 69.4925373134328 |    87
      1860 |  69.622641509434 |    87
      1861 | 69.8166666666667 |    87
      1862 | 69.6153846153846 |    91
      1863 |          69.7875 |   101
      1864 | 69.3924050632911 |    94
      1865 | 69.3703703703704 |   104
      1866 |  69.816091954023 |    97
      1867 | 69.7012987012987 |   100
      1868 | 70.1142857142857 |    90
      1869 | 69.7356321839081 |   104
      1870 | 69.9117647058823 |    81
      1871 | 70.2830188679245 |    64
      1872 | 70.1694915254237 |    71
      1873 | 70.3291139240506 |    86
      1874 | 70.1882352941176 |    99
      1875 |  69.855421686747 |   102
      1876 | 70.0515463917526 |   111
      1877 | 70.5945945945946 |    88
      1878 | 70.3953488372093 |    94
      1879 | 70.3516483516484 |   100
      1880 | 70.7216494845361 |   102
      1881 | 70.2990654205608 |   114
      1882 | 69.9891304347826 |    99
      1883 |            70.78 |   106
      1884 |       70.5859375 |   136
      1885 | 70.8823529411765 |   126
      1886 | 71.1544117647059 |   139
      1887 | 70.4965986394558 |   147
      1888 | 70.7515923566879 |   160
      1889 |          70.8125 |   163
      1890 | 70.9873417721519 |   163
      1891 | 70.7633136094675 |   171
      1892 |  70.758389261745 |   151
      1893 | 70.8452380952381 |   171
      1894 | 70.8703703703704 |   167
      1895 | 70.8666666666667 |   137
      1896 | 70.7669172932331 |   135
      1897 | 70.6950354609929 |   142
      1898 | 70.9734513274336 |   115
      1899 |             70.7 |   142
      1900 | 71.2222222222222 |   127
      1901 | 70.8157894736842 |   114
      1902 |  70.787037037037 |   108
      1903 | 71.4579439252336 |   109
      1904 | 70.8543689320388 |   103
      1905 | 71.4761904761905 |   106
      1906 | 71.2561983471074 |   121
      1907 | 71.4181818181818 |   110
      1908 | 71.5445544554455 |   101
      1909 | 71.7045454545455 |    88
      1910 | 71.5272727272727 |   110
      1911 | 71.6326530612245 |    98
      1912 | 71.6347826086957 |   115
      1913 | 71.6724137931034 |   116
      1914 | 71.8333333333333 |   109
      1915 | 71.9933333333333 |   150
      1916 | 71.9291338582677 |   127
      1917 | 72.2774193548387 |   156
      1918 | 71.9420289855072 |   138
      1919 |           72.048 |   125
      1920 | 71.9626168224299 |   107
      1921 | 72.3185840707965 |   113
      1922 | 72.2222222222222 |   108
      1923 | 72.0246913580247 |    81
      1924 | 72.3302752293578 |   109
      1925 | 71.6451612903226 |    93
      1926 | 72.5428571428571 |   106
      1927 | 71.8640776699029 |   103
      1928 | 72.2222222222222 |   108
      1929 | 72.2765957446808 |    95
      1930 | 72.4827586206897 |   116
      1931 |          72.4375 |   112
      1932 |            72.75 |    72
      1933 | 73.0333333333333 |    90
      1934 | 72.4886363636364 |    89
      1935 | 72.7821782178218 |   101
      1936 | 72.7058823529412 |   102
      1937 |               73 |   106
      1938 | 72.7685185185185 |   109
      1939 | 72.7282608695652 |    92
      1940 |            72.75 |   101
      1941 | 72.8376068376068 |   117
      1942 |           72.944 |   125
      1943 | 72.8787878787879 |   132
      1944 | 72.7826086956522 |   138
      1945 | 73.1304347826087 |   116
      1946 | 73.1102941176471 |   136
      1947 | 72.8013245033113 |   151
      1948 | 72.9558823529412 |   137
      1949 |  73.237037037037 |   135
      1950 | 72.8947368421053 |   133
      1951 | 72.8978102189781 |   138
      1952 | 72.9591836734694 |   147
      1953 | 73.2327044025157 |   160
      1954 | 73.3269230769231 |   156
      1955 | 73.4149659863946 |   147
      1956 | 73.1566265060241 |   166
      1957 | 72.9662162162162 |   148
      1958 |             73.5 |   152
      1959 |  73.351724137931 |   145
      1960 | 73.3191489361702 |   189
      1961 | 73.0687022900763 |   131
      1962 | 73.3776223776224 |   143
      1963 |  73.361581920904 |   177
      1964 | 73.3703703703704 |   189
      1965 |  73.252808988764 |   178
      1966 | 73.4242424242424 |   165
      1967 | 73.3563829787234 |   188
      1968 | 73.5464480874317 |   183
      1969 |             73.4 |   205
      1970 | 73.8888888888889 |   180
      1971 | 73.4761904761905 |   210
      1972 |           73.385 |   200
      1973 | 73.3715846994535 |   183
      1974 | 73.6774193548387 |   186
      1975 | 73.4741784037559 |   213
      1976 | 73.4108910891089 |   202
      1977 | 73.7756097560976 |   205
      1978 | 73.6255924170616 |   211
      1979 | 73.5458937198068 |   207
      1980 | 73.6304347826087 |   184
      1981 | 74.0974358974359 |   195
      1982 | 73.7581395348837 |   215
      1983 | 73.4816326530612 |   245
      1984 | 73.8766519823789 |   227
      1985 | 73.5943396226415 |   212
      1986 | 73.9617224880383 |   209
      1987 |           73.568 |   250
      1988 | 74.0285714285714 |   210
      1989 | 73.6057692307692 |   208
      1990 |  73.736040609137 |   197
      1991 | 73.5548387096774 |   155
      1992 | 73.6636363636364 |   110
      1993 | 73.8035714285714 |    56
      1994 | 73.8387096774194 |    31
      1995 |             74.5 |     6
      1996 |               72 |     1
           | 69.4166666666667 |   132
(167 rows)

